,level,speaker,gender,member_state,EP,party_group,text,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,prevalenc_of_topics
0,EU,Magdalena Adamowicz,1,Poland,1.0,European People's Party,"['group', 'gentleman', 'war', 'medium', 'freedom', 'go', 'several', 'hour', 'war', 'polish', 'citizen', 'know', 'truth', 'authority', 'decide', 'truth', 'lie', 'taxis', 'authority', 'really', 'obedience', 'citizen', 'authority', 'want', 'cultivate', 'obedience', 'citizen', 'help', 'medium', 'subordinate', 'hungary', 'authority', 'member', 'state', 'deprive', 'citizen', 'right', 'reliable', 'information', 'parliament', 'say', 'approval', 'talk', 'stomp', 'foot', 'scream', 'limit', 'helplessness', 'become', 'humiliation', 'humiliation', 'stand', 'alone', 'freedom', 'democracy', 'roman', 'maxim', 'say', 'resist', 'force', 'force', 'force', 'adequate', 'threat', 'call', 'entire', 'accordingly', 'call', 'free', 'medium', 'world', 'show', 'solidarity', 'polish', 'free', 'medium', 'happen', 'happen', 'end', 'leave', 'time', 'spend', 'silence', 'silence', 'warning', 'action', 'moment', 'silence', 'soon', 'become', 'minute', 'silence', 'silence', 'coffin', 'polish', 'democracy', 'polish']",0,5,0.2843,"freedom, platform, democracy, online, democratic, expression, rule, medium, content, social_media","[(0, 0.058688387635756054), (1, 0.06620718462823726), (2, 0.07289055973266499), (3, 0.06787802840434419), (4, 0.2825814536340852), (5, 0.28425229741019215), (6, 0.06620718462823726), (7, 0.10129490392648287)]"
1,EU,Marina Kaljurand,1,Estonia,1.0,Progressive Alliance of Socialists and Democrats in the European Parliament,"['group', 'disinformation', 'new', 'issue', 'develop', 'year', 'measure', 'introduce', 'far', 'insufficient', 'counter', 'efficiently', 'assault', 'democracy', 'ultimate', 'price', 'allow', 'disinformation', 'hatred', 'spread', 'unchecked', 'online', 'clear', 'find', 'balance', 'limit', 'harmful', 'content', 'maintain', 'freedom', 'speech', 'challenge', 'task', 'doable', 'address', 'look', 'forward', 'debate', 'particularly', 'concrete', 'opportunity', 'address', 'issue', 'new', 'draft', 'include', 'digital', 'services_act', 'establish', 'new', 'rule', 'include', 'advertise', 'transparency', 'illegal', 'content', 'removal', 'data', 'access', 'continue', 'improve', 'code', 'conduct', 'disinformation', 'necessary', 'step', 'extend', 'offline', 'safeguard', 'online', 'world', 'limit', 'use', 'target', 'advertising', 'profiling', 'user', 'welcome', 'initiative', 'online', 'political', 'advertising', 'need', 'explore', 'way', 'promote', 'medium', 'literacy', 'skill', 'increase', 'user', 'knowledge', 'gdpr', 'lead', 'way', 'set', 'example', 'go', 'digital', 'facilitate', 'development', 'digital', 'economy', 'protect', 'fundamental_right', 'provide', 'increase', 'security', 'online', 'harm', 'opportunity', 'lead', 'way', 'hope', 'together', 'ally', 'united_state']",1,5,0.2772,"freedom, platform, democracy, online, democratic, expression, rule, medium, content, social_media","[(0, 0.09129629629629629), (1, 0.10314814814814814), (2, 0.1587037037037037), (3, 0.10166666666666667), (4, 0.10314814814814814), (5, 0.2727777777777778), (6, 0.09129629629629629), (7, 0.07796296296296296)]"
2,EU,Annalisa Tardino,1,Italy,1.0,Identity and Democracy Group,"['tardino', 'behalf', 'i', 'd', 'group', 'lady', 'gentleman', 'large', 'platform', 'undoubtedly', 'offer', 'great', 'opportunity', 'useful', 'society', 'especially', 'physical', 'distance', 'widen', 'move', 'clear', 'rule', 'giant', 'web', 'year', 'claim', 'neutral', 'container', 'today', 'however', 'clear', 'policy', 'affect', 'real', 'world', 'proclaim', 'censor', 'message', 'acceptable', 'lead', 'big', 'question', 'precise', 'political', 'legal', 'connotation', 'decide', 'publish', 'digital', 'space', 'see', 'think', 'vested', 'interest', 'stake', 'question', 'decide', 'defend', 'idea', 'party', 'individual', 'elect', 'protect', 'value', 'bof', 'democracy', 'freedom', 'expression', 'even', 'individual', 'citizen', 'reason', 'ask', 'debate', 'believe', 'possible', 'darken', 'page', 'newspaper', 'decide', 'law', 'define', 'clear', 'parameter', 'procedure', 'thank', 'homemade', 'guideline', 'private', 'giant', 'act', 'almost', 'judge', 'democracy', 'role', 'belong', 'legislator', 'abdicate', 'act', 'democratic', 'free', 'debate']",2,7,0.3657,"company, public, society, make, today, clear, decision, control, social, internet","[(0, 0.07185990338164251), (1, 0.06300322061191627), (2, 0.05253623188405797), (3, 0.05817230273752013), (4, 0.12419484702093397), (5, 0.17975040257648953), (6, 0.08071658615136876), (7, 0.36976650563607083)]"
3,EU,Laura Ferrara,1,Italy,1.0,Non-attached Members,"['gentleman', 'commissioner', 'social_media', 'broaden', 'opportunity', 'participation', 'public', 'life', 'political', 'debate', 'facilitate', 'access', 'information', 'freedom', 'expression', 'however', 'yet', 'adequately', 'protect', 'proliferation', 'fake_news', 'discriminatory', 'content', 'incitement', 'hatred', 'violence', 'fact', 'experience', 'disinformation', 'campaign', 'foreign', 'interference', 'find', 'fertile', 'ground', 'influence', 'public', 'opinion', 'polarize', 'society', 'undermine', 'democratic', 'process', 'action_plan', 'democracy', 'proposal', 'regard', 'digital', 'service', 'market', 'therefore', 'expect', 'significant', 'intervention', 'regulate', 'opaque', 'microtargeting', 'practice', 'obtain', 'great', 'transparency', 'function', 'algorithm', 'procedure', 'control', 'moderate', 'online', 'content', 'time', 'however', 'essential', 'mitigate', 'risk', 'conflict', 'freedom', 'opinion', 'deriving', 'decision', 'adopt', 'basis', 'discretionary', 'power', 'oligarchy', 'private', 'commercial', 'entity', 'rather', 'basis', 'rule', 'give', 'great', 'guarantee', 'freedom', 'impartiality']",3,5,0.3223,"freedom, platform, democracy, online, democratic, expression, rule, medium, content, social_media","[(0, 0.06814548361310953), (1, 0.05215827338129497), (2, 0.12969624300559554), (3, 0.06894484412470026), (4, 0.15207833733013593), (5, 0.3263389288569145), (6, 0.0905275779376499), (7, 0.11211031175059953)]"
4,EU,Paulo Rangel,0,Portugal,1.0,European People's Party,"['public', 'sphere', 'sphere', 'communication', 'change', 'radically', 'world', 'mediator', 'mediation', 'politic', 'parliament', 'party', 'institution', 'social', 'sphere', 'press', 'television', 'radio', 'suddenly', 'pass', 'illusion', 'democracy', 'direct', 'mediator', 'fall', 'think', 'abolish', 'social', 'communication', 'traditional', 'medium', 'think', 'direct', 'participation', 'even', 'replace', 'parliament', 'lack', 'country', 'abolition', 'parliament', 'decreed', 'defend', 'mediator', 'direct', 'participation', 'social_network', 'vote', 'even', 'law', 'decision', 'daily', 'digital', 'instrument', 'problem', 'suddenly', 'realize', 'social_network', 'company', 'mediator', 'hidden', 'secret', 'mediator', 'controller', 'owner', 'social_network', 'therefore', 'freedom', 'expression', 'danger', 'danger', 'due', 'external', 'interference', 'danger', 'due', 'hide', 'mediation', 'danger', 'due', 'lack', 'democratic', 'regulation', 'therefore', 'hand', 'social_network', 'put', 'hand', 'challenge', 'debate', 'today']",4,7,0.373,"company, public, society, make, today, clear, decision, control, social, internet","[(0, 0.07921810699588477), (1, 0.08991769547325103), (2, 0.056995884773662554), (3, 0.05617283950617284), (4, 0.1360082304526749), (5, 0.13930041152263375), (6, 0.06934156378600823), (7, 0.37304526748971195)]"
5,EU,Ismail Ertug,0,Germany,1.0,Progressive Alliance of Socialists and Democrats in the European Parliament,"['ismail', 'ertug', 'pandemic', 'facebook', 'decide', 'week', 'take', 'post', 'claim', 'vaccine', 'autism', 'take', 'act', 'fake_news', 'study', 'release', 'week', 'reveal', 'young', 'people', 'already', 'confront', 'social_media', 'distinguish', 'fake_new', 'real', 'news', 'eye', 'threat', 'year', 'think', 'exaggerate', 'say', 'platform', 'trump', 'example', 'benefit', 'trump', 'election', 'defeat', 'call', 'supporter', 'storm', 'ban', 'mean', 'youtube', 'twitter', 'take', 'year', 'ban', 'think', 'right', 'ban', 'trump', 'platform', 'say', 'private', 'company', 'never', 'act', 'reference', 'law', 'way', 'go']",5,5,0.2492,"freedom, platform, democracy, online, democratic, expression, rule, medium, content, social_media","[(0, 0.08805555555555555), (1, 0.10583333333333333), (2, 0.0636111111111111), (3, 0.0925), (4, 0.08916666666666667), (5, 0.2436111111111111), (6, 0.1025), (7, 0.21472222222222223)]"
6,EU,Michal Šimečka,0,Slovakia,1.0,Renew Europe Group,"['michal', 'simecka', 'think', 'clear', 'social_media', 'wildly', 'outgrown', 'founder', 'expectation', 'impact', 'society', 'feel', 'globally', 'course', 'individual', 'country', 'great', 'power', 'come', 'great', 'responsibility', 'today', 'little', 'incentive', 'social_media', 'corporation', 'ensure', 'product', 'use', 'vehicle', 'mass', 'spread', 'hate', 'lie', 'disinformation', 'slovakia', 'last', 'journalist', 'track', 'death', 'threat', 'post', 'publicly', 'facebook', 'actually', 'call', 'department', 'death', 'threat', 'take', 'action', 'journalist', 'threat', 'actually', 'disappear', 'illustrative', 'much', 'big', 'problem', 'social_media', 'corporation', 'unable', 'unwilling', 'ensure', 'content', 'meet', 'ethical', 'standard', 'actually', 'comply', 'law', 'country', 'operate', 'think', 'future', 'regulation', 'virtual', 'real']",6,7,0.2177,"company, public, society, make, today, clear, decision, control, social, internet","[(0, 0.0864463601532567), (1, 0.07974137931034483), (2, 0.12092911877394635), (3, 0.05771072796934866), (4, 0.18797892720306514), (5, 0.16115900383141762), (6, 0.0864463601532567), (7, 0.21958812260536398)]"
7,EU,Elżbieta Kruk,1,Poland,1.0,European Conservatives and Reformists Group,"['power', 'world', 'take', 'large', 'technology', 'corporation', 'already', 'control', 'public', 'debate', 'influence', 'election', 'result', 'reckon', 'unpunishe', 'early', 'internet', 'act', 'online', 'goal', 'giant', 'silicon', 'begin', 'activity', 'give', 'people', 'access', 'information', 'free', 'principle', 'evil', 'yesterday', 'today', 'orwell', 'science', 'fiction', 'writer', 'predict', 'future', 'time', 'real', 'agree', 'big', 'brother', 'silence', 'even', 'united_state', 'conservative', 'view', 'web', 'always', 'victim', 'several', 'billionaire', 'name', 'leftist', 'ideology', 'declare', 'war', 'freedom', 'speech', 'action', 'compare', 'action', 'totalitarian', 'state', 'witness', 'unprecedented', 'threat', 'freedom', 'censorship', 'account', 'block', 'hand', 'digital', 'surveillance', 'manipulation', 'passivity', 'european', 'face', 'monopolistic', 'practice', 'astonish', 'high', 'time', 'take', 'action', 'introduce', 'regulation', 'protect', 'freedom', 'speech', 'online']",7,7,0.2339,"company, public, society, make, today, clear, decision, control, social, internet","[(0, 0.10723039215686274), (1, 0.0639297385620915), (2, 0.06311274509803921), (3, 0.08190359477124183), (4, 0.17585784313725492), (5, 0.2093545751633987), (6, 0.06638071895424837), (7, 0.23223039215686275)]"
8,EU,Sira Rego,1,Spain,1.0,Left group in the European Parliament,"['leave', 'abascal', 'etcetera', 'common', 'denominator', 'racist', 'exaltation', 'fascism', 'fundamental', 'debate', 'impunity', 'tolerance', 'narrative', 'violation', 'human', 'right', 'extreme', 'right', 'accept', 'use', 'social_network', 'disseminator', 'danger', 'course', 'normal', 'question', 'arise', 'multinational', 'determine', 'use', 'account', 'limit', 'rather', 'great', 'anti', 'fascist', 'consensus', 'give', 'rise', 'public', 'regulation', 'course', 'believe', 'bet', 'latter', 'way', 'guarantee', 'fundamental', 'right', 'access', 'truthful', 'information', 'way', 'eradicate', 'intervention', 'public', 'power', 'firm', 'alliance', 'expel', 'hate', 'public', 'space']",8,7,0.2599,"company, public, society, make, today, clear, decision, control, social, internet","[(0, 0.07728272827282728), (1, 0.09818481848184818), (2, 0.09818481848184818), (3, 0.07618261826182618), (4, 0.12788778877887788), (5, 0.16529152915291528), (6, 0.10478547854785479), (7, 0.2522002200220022)]"
9,EU,Tanja Fajon,1,Slovenia,1.0,Progressive Alliance of Socialists and Democrats in the European Parliament,"['tanja', 'fajon', 'medium', 'freedom', 'spotlight', 'recent', 'year', 'reason', 'imagine', 'year', 'ago', 'social_media', 'newspaper', 'newscast', 'waste', 'false', 'information', 'average', 'mislead', 'advertiser', 'journalist', 'reporter', 'presenter', 'today', 'however', 'number', 'verify', 'unverified', 'information', 'channel', 'available', 'individual', 'serve', 'create', 'truth', 'worry', 'easy', 'publish', 'complete', 'lie', 'misinformation', 'take', 'responsibility', 'say', 'freedom', 'speech', 'thus', 'discredit', 'target', 'attack', 'similar', 'announcement', 'attack', 'insult', 'mostly', 'use', 'today', 'populist', 'right', 'undermine', 'democracy', 'autocratic', 'tendency', 'strive', 'fundamental', 'human', 'right', 'even', 'see', 'free', 'medium', 'enemy', 'fundamental', 'aspect', 'free', 'society', 'effective', 'tactic', 'spread', 'disinformation', 'prove', 'party', 'appropriation', 'newly', 'create', 'medium', 'exclusively', 'promote', 'party', 'ideology', 'unfortunately', 'practice', 'use', 'politician', 'slander', 'spread', 'untruth', 'political', 'opponent', 'slovenia', 'slovenian', 'prime', 'minister', 'different', 'view', 'belief', 'course', 'completely', 'normal', 'constructive', 'dialogue', 'replace', 'lie', 'offensive', 'even', 'hostile', 'rhetoric', 'democracy', 'really', 'danger', 'thing', 'go', 'far', 'coup', 'happen', 'capitol', 'crossroad', 'freedom', 'right', 'individual', 'express', 'much', 'welcome', 'present', 'european']",9,5,0.3376,"freedom, platform, democracy, online, democratic, expression, rule, medium, content, social_media","[(0, 0.1221881390593047), (1, 0.07719836400817996), (2, 0.04788684389911384), (3, 0.04447852760736196), (4, 0.08878663940013633), (5, 0.33486707566462165), (6, 0.1003749147920927), (7, 0.18421949556918882)]"
