,level,speaker,gender,state,house_of_rep,party,text,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,prevalenc_of_topics,Dominant_topic
0,US,Nancy Pelosi,1,California ,1,1,"['rise', 'bipartisan', 'act', 'honor', 'value', 'support', 'servicemember', 'family', 'strengthen', 'security', 'advance', 'leadership', 'world', 'staff', 'patriotic', 'persistent', 'leadership', 'reflect', 'brilliance', 'diversity', 'whole', 'honor', 'responsibility', 'meet', 'need', 'servicemember', 'sacrifice', 'freedom', 'family', 'provide', 'pay_raise', 'man', 'woman', 'uniform', 'strengthen', 'parental_leave', 'caregiver', 'expand', 'access', 'child', 'care', 'improve', 'financial', 'security', 'military', 'member', 'include', 'low', 'income', 'family', 'member', 'live', 'disability', 'protect', 'military', 'community', 'pfas', 'forever', 'make', 'historic', 'change', 'well', 'combat', 'sexual_assault', 'military', 'include', 'create', 'office', 'special', 'victim', 'prosecutor', 'prosecute', 'crime', 'criminalize', 'sexual_harassment', 'ucmj', 'military', 'justice', 'improve', 'military', 'health', 'care', 'include', 'relate', 'reproductive', 'healthof', 'woman', 'suicide', 'prevention', 'term', 'protect', 'security', 'many', 'provision', 'proud', 'ndaa', 'help', 'combat', 'adversary', 'invest', 'alliance', 'strong', 'action', 'deter', 'fight', 'transnational', 'threat', 'counter', 'violent', 'extremism', 'bring', 'defense', 'historic', 'percent', 'increase', 'defense', 'wide', 'research', 'development', 'fix', 'age', 'infrastructure', 'support', 'security', 'relate', 'new', 'cybersecurity', 'investment', 'effort', 'investment', 'new', 'partnership', 'private_sector', 'academia', 'include', 'hbcus', 'minority', 'serve', 'institution', 'ndaa', 'build', 'bipartisan', 'action', 'pass', 'special', 'immigrant', 'visa', 'siv', 'provide', 'relocation', 'afghan', 'ally', 'partner', 'authorize', 'effort', 'bipartisan', 'policy', 'sign', 'law', 'consecutive', 'year', 'look_forward', 'seeing', 'continue', 'proud', 'tradition', 'pass', 'bipartisan', 'basis', 'send', 'desk', 'signature', 'allow', 'honor', 'vision', 'founder', 'set', 'preamble', 'provide', 'common', 'defense', 'secure', 'blessing', 'liberty', 'posterity']",0,0,0.6889,"support, military, defense, work, include, bipartisan, provide, time, ensure, member","[(0, 0.6888888888888889), (1, 0.3111111111111111)]",National_security
1,US,Jerry McNerney,0,California ,1,1,"['chairman', 'yield', 'recognize', 'rise', 'today', 'support', 'consumer', 'safety', 'technology', 'act', 'encourage', 'use', 'emerging_technologie', 'specifically', 'blockchain', 'help', 'keep', 'consumer', 'safe', 'aid', 'consumer_protection', 'agency', 'carry', 'mission', 'incorporate', 'safety', 'act', 'author', 'burgess', 'provision', 'direct', 'consumer_product', 'safety', 'cpsc', 'establish', 'pilot_program', 'use', 'furtherance', 'work', 'protect', 'consumer', 'unsafe', 'product', 'example', 'cpsc', 'quickly', 'efficiently', 'identify', 'hazard', 'explode', 'laptop', 'faulty', 'battery', 'defective', 'charger', 'furniture', 'tip', 'unsafe', 'infant', 'sleeping', 'product', 'able', 'identify', 'hazard', 'quickly', 'enable', 'cpsc', 'page', 'help', 'recall', 'product', 'quickly', 'turn', 'help', 'save', 'life', 'hear', 'commissioner', 'testify', 'benefit', 'work', 'serve', 'american', 'people', 'please', 'last', 'government', 'act', 'enact', 'law', 'thing', 'government', 'act', 'establish', 'center', 'excellence', 'facilitate', 'adoption', 'technology', 'federal_government', 'provide', 'central', 'resource', 'government', 'aid', 'agency', 'adoption', 'help', 'agency', 'share', 'good', 'practice', 'critical', 'agency', 'build', 'capacity', 'internally', 'adopt', 'technology', 'empower', 'experience', 'serve', 'example', 'agency', 'look', 'integrate', 'furtherance', 'mission', 'agency', 'incorporate', 'blockchain', 'innovation', 'act', 'introduce', 'soto', 'guthrie', 'provision', 'help', 'ensure', 'use', 'benefit', 'blockchain', 'technology', 'help', 'stop', 'scam', 'fraud', 'additionally', 'incorporate', 'digital', 'taxonomy', 'act', 'representative', 'soto', 'davidson', 'provision', 'help', 'ensure', 'scammer', 'fraudster', 'get', 'ahead', 'consumer', 'law', 'enforcement', 'realm', 'representative', 'burgess', 'soto', 'guthrie', 'davidson', 'work', 'chairman', 'rodger', 'move', 'important', 'urge', 'colleague', 'support']",1,0,0.6867,"support, military, defense, work, include, bipartisan, provide, time, ensure, member","[(0, 0.6888888888888889), (1, 0.3111111111111111)]",National_security
2,US,Michael C. Burgess,0,Texas,1,0,"['mcnerney', 'consumer', 'safety', 'technology', 'act', 'know', 'make', 'several', 'trip', 'observe', 'firsthand', 'man', 'woman', 'dedicate', 'life', 'ensure', 'consumer', 'safe', 'product', 'consumer', 'product', 'cause', 'harm', 'user', 'approach', 'anniversary', 'independence', 'nation', 'lot', 'respect', 'individual', 'ensure', 'firework', 'sell', 'commercial', 'stand', 'side', 'road', 'meet', 'certain', 'specification', 'approach', 'independence', 'day', 'always', 'good', 'time', 'acknowledge', 'work', 'do', 'man', 'woman', 'consumer_product', 'safety', 'talk', 'today', 'actually', 'pass', 'last', 'voice', 'vote', 'fail', 'advance', 'include', 'mcnerney', 'introduce', 'safety', 'reference', 'blockchain', 'innovation', 'taxonomy', 'act', 'consider', 'commonsense', 'sign', 'law', 'improve', 'modernize', 'consumer_protection', 'agency', 'consumer_product', 'safety', 'jurisdiction', 'consumer', 'product', 'many', 'purchase', 'online', 'consumer', 'reviewing', 'assess', 'product', 'person', 'time', 'pandemic', 'seek', 'fulfill', 'need', 'online', 'shopping', 'many', 'company', 'small', 'business', 'innovate', 'product', 'increase', 'convenience', 'daily', 'life', 'pool', 'product', 'available', 'consumer', 'continually', 'expand', 'put', 'strain', 'consumer_product', 'safety', 'ensure', 'safety', 'product', 'technological', 'advance', 'increase', 'number', 'type', 'product', 'available', 'consumption', 'consumer_product', 'safety', 'employ', 'advanced', 'technology', 'assist', 'mission', 'direct', 'consumer', 'safety', 'product', 'establish', 'pilot_program', 'use', 'track', 'injury', 'trend', 'identify', 'consumer_product', 'hazard', 'monitor', 'retail', 'marketplace', 'sale', 'recall', 'product', 'identify', 'unsafe', 'import', 'consumer', 'product', 'safe', 'say', 'consumer_product', 'safety', 'create', 'anticipate', 'sheer', 'volume', 'material', 'import', 'responsibility', 'artifical', 'use', 'algorithm', 'quickly', 'automate', 'human', 'function', 'filter', 'analyze', 'datum', 'already', 'advance', 'capability', 'multiple', 'sector', 'well', 'serve', 'consumer', 'increase', 'capacity', 'enhance', 'advance', 'capable', 'help', 'predict', 'fail', 'rate', 'identify', 'problem', 'consumer', 'product', 'significantly', 'impact', 'market', 'want', 'united_state', 'stay', 'ahead', 'global', 'competitor', 'utilize', 'appropriate', 'product', 'process', 'think', 'well', 'place', 'implement', 'capability', 'protection', 'product', 'use', 'every_single', 'day', 'american', 'consumer', 'urge', 'colleague', 'support', 'pass', 'last', 'voice', 'vote', 'advance', 'today']",2,0,0.7587,"support, military, defense, work, include, bipartisan, provide, time, ensure, member","[(0, 0.7502120441051738), (1, 0.24978795589482614)]",National_security
3,US,Darren Soto,0,Florida,1,1,"['darren', 'soto', 'chairman', 'rodger', 'biliraki', 'guthrie', 'bring', 'forward', 'key', 'bill', 'technology', 'emerging_technologie', 'blockchain', 'technology', 'cryptocurrency', 'play', 'grow', 'importance', 'daily', 'live', 'go', 'economic', 'driver', 'economy', 'blockchain', 'essence', 'fix', 'ledger', 'add', 'data', 'transaction', 'change', 'therefore', 'make', 'data', 'integrity', 'make', 'sure', 'transaction', 'add', 'datum', 'internet', 'change', 'certainty', 'critical', 'add', 'analyze', 'fix', 'datum', 'help', 'solve', 'large', 'problem', 'face', 'nation', 'healthcare', 'example', 'delivery', 'personal', 'protection', 'equipment', 'pandemic', 'course', 'cryptocurrency', 'allow', 'small', 'business', 'particular', 'provide', 'service', 'world', 'transaction', 'cost', 'exchange', 'currency', 'help', 'remittance', 'way', 'modernize', 'economy', 'essential', 'continue', 'global', 'leader', 'emerging_technologie', 'ensure', 'democratic', 'value', 'remain', 'forefront', 'technological', 'development', 'authoritarian', 'regime', 'invest', 'heavily', 'area', 'absolutely', 'critical', 'free', 'world', 'invest', 'win', 'future', 'area', 'responsible', 'global', 'leader', 'strike', 'appropriate', 'balance', 'provide', 'environment', 'foster', 'innovation', 'ensure', 'appropriate', 'proud', 'work', 'mcnerney', 'include', 'part', 'digital', 'taxonomy', 'innovation', 'many', 'know', 'blockchain', 'technology', 'helpful', 'way', 'discuss', 'already', 'first', 'innovation', 'act', 'direct', 'department', 'commerce', 'conduct', 'study', 'submit', 'state', 'blockchain', 'technology', 'include', 'use', 'reduce', 'fraud', 'increase', 'security', 'guthrie', 'cosponsoring', 'co', 'introduce', 'first', 'step', 'goal', 'set', 'blockchain', 'center', 'commerce', 'addition', 'digital', 'taxonomy', 'act', 'require', 'similar', 'recommendation', 'deceptive', 'practice', 'relationship', 'page', 'davidson', 'cosponsorship', 'look', 'market', 'volatility', 'use', 'cryptocurrency', 'ransomware', 'recent', 'attack', 'colonial', 'pipeline', 'tax', 'evasion', 'critical', 'get', 'front', 'end', 'pleased', 'work', 'mcnerney', 'urge', 'support']",3,1,0.5165,"make, research, technology, national, people, world, investment, innovation, american, percent","[(0, 0.4914914914914915), (1, 0.5085085085085085)]",Domestic_us_economy
4,US,Debbie Lesko,1,Arizona,1,0,"['yield', 'rise', 'support', 'consumer', 'safety', 'technology', 'act', 'important', 'solidify', 'position', 'world', 'leader', 'technology', 'innovation', 'protect', 'constituent', 'build', 'seek', 'remove', 'burdensome', 'regulatory', 'barrier', 'promote', 'american', 'innovation', 'consider', 'safely', 'use', 'transform', 'future', 'critical', 'step', 'maintain', 'global', 'competitive', 'edge', 'emerging_technologie', 'foreign', 'adversary', 'make', 'less', 'reliant', 'bad', 'actor', 'important', 'technology', 'consumer', 'safety', 'technology', 'act', 'establishe', 'safely', 'use', 'protect', 'consumer', 'unsafe', 'product', 'advance', 'american', 'innovation', 'urge', 'colleague', 'support']",4,1,0.5158,"make, research, technology, national, people, world, investment, innovation, american, percent","[(0, 0.4943934760448522), (1, 0.5056065239551478)]",Domestic_us_economy
5,US,Debbie Stabenow,1,Michigan,0,1,"['come', 'surprise', 'chamber', 'extremely', 'proud', 'bear', 'raise', 'state', 'lead', 'world', 'innovation', 'leader', 'make', 'thing', 'furniture', 'appliance', 'wind', 'turbine', 'solar', 'component', 'much', 'course', 'home', 'automobile', 'automotive', 'assembly', 'line', 'middle', 'class', 'worker', 'put', 'world', 'wheel', 'build', 'economy', 'strong', 'enough', 'worker', 'buy', 'car', 'truck', 'make', 'nation', 'face', 'stark', 'choice', 'right', 'front', 'tonight', 'important', 'continue', 'invest', 'make', 'thing', 'decide', 'really', 'worth', 'trouble', 'anymore', 'continue', 'lead', 'world', 'research', 'development', 'breakthrough', 'technology', 'allow', 'country', 'surge', 'ahead', 'tread', 'water', 'stand', 'worker', 'assembly', 'line', 'build', 'vehicle', 'future', 'watch', 'plant', 'close', 'ship', 'job', 'overseas', 'let', 'middle', 'class', 'wither', 'away', 'choice', 'argue', 'choice', 'choice', 'know', 'time', 'stand', 'side', 'american', 'manufacturing', 'time', 'stand', 'side', 'american', 'ingenuity', 'time', 'stand', 'side', 'american', 'worker', 'class', 'time', 'take', 'stand', 'invest', 'share', 'future', 'build', 'economy', 'compete', 'anywhere', 'competition', 'act', 'first', 'order', 'business', 'increase', 'investment', 'research', 'development', 'time', 'lose', 'american', 'spending', 'page', 'low', 'point', 'year', 'low', 'point', 'year', 'else', 'happen', 'years_ago', 'well', 'first', 'person', 'fly', 'space', 'american', 'fact', 'help', 'light', 'fire', 'american', 'leader', 'understand', 'invest', 'let', 'soviet_union', 'surge', 'ahead', 'today', 'race', 'gain', 'investment', 'grow', 'percent', 'grow', 'percent', 'plan', 'boost', 'spending', 'percent', 'important', 'pass', 'innovation', 'competition', 'act', 'invest', 'year', 'critical', 'critical', 'research', 'include', 'advanced', 'compute', 'semiconductor', 'quadruple', 'investment', 'manufacturing', 'extension', 'partnership', 'provide', 'manufacture', 'program', 'especially', 'important', 'proud', 'manufacture', 'usa', 'initiative', 'state', 'lightweight', 'innovation', 'tomorrow', 'lift', 'scale', 'research', 'facility', 'surf', 'locate', 'facility', 'exciting', 'place', 'lift', 'project', 'include', 'research', 'well', 'welding', 'process', 'navy', 'ship', 'anti', 'rollover', 'system', 'military', 'humvee', 'surf', 'partner', 'department', 'energy', 'leader', 'advanced', 'vehicle', 'technology', 'equally', 'proud', 'amazing', 'research', 'institution', 'include', 'state', 'today', 'student', 'tomorrow', 'engineer', 'know', 'count', 'brain', 'power', 'build', 'future', 'car', 'connected', 'collision', 'memory', 'future', 'write', 'today', 'michigan', 'connect', 'test', 'evaluate', 'demonstrate', 'really', 'amazing', 'see', 'write', 'automaker', 'work', 'day', 'car', 'emission', 'free', 'emission', 'free', 'know', 'impress', 'new', 'lightning', 'test', 'drive', 'think', 'hard', 'get', 'car', 'think', 'cool', 'last', 'month', 'tour', 'factory', 'soon', 'manufacture', 'electric', 'hummer', 'silverado', 'truck', 'truck', 'formerly', 'know', 'gearing', 'build', 'hybrid', 'electric', 'version', 'iconic', 'american', 'always', 'do', 'make', 'thing', 'grow', 'thing', 'unfortunately', 'make', 'thing', 'get', 'difficult', 'recently', 'covid', 'exposed', 'weakness', 'shortage', 'semiconductor', 'idle', 'multiple', 'auto', 'plant', 'country', 'many', 'auto', 'dealer', 'normally', 'pack', 'make', 'model', 'sun', 'suddenly', 'few', 'choice', 'bad', 'worker', 'lay', 'chip', 'car', 'work', 'enough', 'build', 'car', 'make', 'remain', 'competitive', 'global', 'marketplace', 'build', 'component', 'part', 'go', 'car', 'truck', 'build', 'percent', 'global', 'semiconductor_manufacturing', 'capacity', 'percent', 'today', 'percent', 'definitely', 'go', 'wrong', 'direction', 'serious', 'importance', 'chip', 'keep', 'grow', 'country', 'invest', 'chip', 'manufacturing', 'time', 'innovation', 'competition', 'act', 'provide', 'commerce', 'department', 'incentive', 'boost', 'semiconductor_manufacturing', 'united_state', 'make', 'resilient', 'include', 'incentivize', 'production', 'mature', 'semiconductor', 'technology', 'kind', 'chip', 'use', 'auto', 'company', 'home', 'appliance', 'defense', 'manufacturing', 'please', 'yesterday', 'finance', 'pass', 'help', 'country', 'launch', 'next_generation', 'manufacturing', 'include', 'bipartisan', 'daine', 'help', 'company', 'invest', 'manufacture', 'facility', 'expand', 'exist', 'plant', 'build', 'new', 'technology', 'include', 'semiconductor', 'battery', 'operation', 'way', 'boost', 'american', 'manufacturing', 'every_single', 'american', 'taxpayer', 'dollar', 'possible', 'spend', 'make', 'product', 'bipartisan', 'make', 'make', 'hard', 'federal', 'agency', 'use', 'waiver', 'loophole', 'get', 'buy', 'american', 'rule', 'purchase', 'foreign', 'make', 'product', 'want', 'tammy', 'baldwin', 'continue', 'leadership', 'buy', 'american', 'issue', 'federal_government', 'enormous', 'consumer', 'set', 'make', 'big', 'infrastructure', 'investment', 'buy', 'american', 'rule', 'mean', 'american', 'dollar', 'flow', 'local', 'economy', 'purchase', 'make', 'make', 'iron', 'steel', 'great', 'american', 'electric', 'vehicle', 'time', 'invest', 'research', 'development', 'turn', 'american', 'ingenuity', 'american', 'innovation', 'ingenuity', 'innovation', 'time', 'build', 'american', 'build', 'american', 'product', 'job', 'american', 'community', 'time', 'ensure', 'american', 'tax', 'dollar', 'support', 'business', 'worker', 'proud', 'say', 'worker', 'build', 'nation', 'time', 'nation', 'return', 'favor', 'evening', 'floor', 'critical', 'step', 'forward', 'making_sure', 'happen', 'yield', 'floor']",5,1,0.794,"make, research, technology, national, people, world, investment, innovation, american, percent","[(0, 0.20599712466625592), (1, 0.7940028753337441)]",Domestic_us_economy
6,US,Janice D. Schakowsky,1,Illinois,1,1,"['author', 'bipartisan', 'soto', 'guthrie', 'davidson', 'federal_government', 'put', 'incredible', 'technological', 'innovation', 'last', 'year', 'work', 'american', 'people', 'exactly', 'promote', 'use', 'product_safety', 'study', 'blockchain', 'protect', 'consumer', 'time', 'regulator', 'strong', 'american', 'consumer', 'safe', 'consider', 'technology', 'help', 'achieve', 'mission', 'part', 'mission', 'federal', 'trade', 'protect', 'consumer', 'unfair', 'deceptive', 'business', 'practice', 'important', 'keep', 'track', 'practice', 'digital', 'token', 'ecosystem', 'unscrupulous', 'businesspeople', 'seek', 'take', 'advantage', 'vast', 'wealth', 'create', 'digital', 'direct', 'federal', 'trade', 'work', 'keep', 'user', 'digital', 'token', 'system', 'safe', 'emerging_technologie', 'pose', 'peril', 'promise', 'direct', 'federal', 'agency', 'make_sure', 'consumer', 'safe']",6,0,0.5046,"support, military, defense, work, include, bipartisan, provide, time, ensure, member","[(0, 0.4990892531876138), (1, 0.5009107468123861)]",National_security
7,US,Fred Keller,0,Pennsylvania,1,0,"['fred', 'yield', 'time', 'may_consume', 'rise', 'support', 'federal', 'career', 'opportunity', 'computer', 'science', 'increasingly', 'rely', 'digital', 'technology', 'need', 'able', 'hire', 'attract', 'right', 'talent', 'therefore', 'ability', 'recruit', 'retain', 'qualified', 'software', 'datum', 'professional', 'important', 'particularly', 'government', 'withstand', 'frequent', 'sophisticated', 'cybersecurity', 'threat', 'national', 'security', 'release', 'final', 'early', 'find', 'digitally', 'talented', 'people', 'able', 'reasonably', 'expect', 'spend', 'career', 'perform', 'meaningful', 'work', 'focus', 'field', 'expertise', 'government', 'go', 'recommend', 'new', 'federal', 'career', 'field', 'digital', 'technology', 'establish', 'create', 'new', 'civilian', 'occupational', 'series', 'software', 'development', 'software', 'engineering', 'knowledge', 'management', 'datum', 'science', 'consideration', 'require', 'office', 'personnel', 'management', 'update', 'exist', 'occupational', 'series', 'create', 'new', 'one', 'field', 'software', 'development', 'software', 'engineering', 'datum', 'management', 'datum', 'science', 'ensure', 'federal', 'workforce', 'represent', 'current', 'specialized', 'field', 'necessary', 'bring', 'government', 'enable', 'federal_government', 'well', 'target', 'recruit', 'retain', 'qualified', 'professional', 'essential', 'field', 'appreciate', 'leadership', 'congressman', 'issue', 'encourage', 'colleague', 'support', 'smart', 'government', 'modernization', 'reserve', 'balance', 'time']",7,0,0.5122,"support, military, defense, work, include, bipartisan, provide, time, ensure, member","[(0, 0.5161078238001315), (1, 0.4838921761998685)]",National_security
8,US,Jay Obernolte,0,California,1,0,"['rise', 'support', 'federal', 'career', 'opportunity', 'computer', 'work', 'country', 'recently', 'horrify', 'cyberattack', 'critical', 'part', 'national', 'infrastructure', 'particular', 'cyberattack', 'colonial', 'pipeline', 'shut', 'gasoline', 'delivery', 'much', 'cyberattack', 'jbs', 'meat', 'processing', 'disrupt', 'operation', 'large', 'food', 'processing', 'facility', 'country', 'become', 'increasingly', 'clear', 'dealing', 'threat', 'require', 'highly', 'train', 'professional', 'computer', 'part', 'civilian', 'workforce', 'federal', 'workforce', 'unfortunately', 'many', 'people', 'surprised', 'learn', 'currently', 'federal', 'career', 'occupational', 'series', 'dedicated', 'computer', 'science', 'federal', 'career', 'opportunity', 'computer', 'establish', 'series', 'field', 'datum', 'management', 'software', 'engineering', 'enable', 'federal_government', 'well', 'attract', 'retain', 'highly', 'qualified', 'technical', 'computer', 'scientist', 'talent', 'need', 'respond', 'attack', 'future', 'bipartisan', 'commonsense', 'solution', 'problem', 'urge', 'support', 'keller', 'speaker', 'prepare', 'close', 'strongly', 'urge', 'colleague', 'support', 'bipartisan', 'help', 'improve', 'technical', 'skill', 'federal', 'workforce', 'ultimately', 'modernize', 'government', 'yield', 'back', 'balance', 'time']",8,0,0.5541,"support, military, defense, work, include, bipartisan, provide, time, ensure, member","[(0, 0.5428167020523709), (1, 0.45718329794762913)]",National_security
9,US,Gwen Moore,1,Wisconsin,1,1,"['yield', 'page', 'rise', 'today', 'support', 'department', 'energy', 'act', 'newly', 'mint', 'member', 'science', 'space', 'technology', 'proud', 'see', 'colleague', 'side', 'aisle', 'work', 'hard', 'pass', 'amendment', 'republican', 'opportunity', 'newly', 'mint', 'member', 'make', 'impact', 'important', 'think', 'accident', 'create', 'environment', 'work', 'craft', 'important', 'hear', 'science', 'hub', 'technological', 'advancement', 'research', 'design', 'tackle', 'great', 'scientific', 'challenge', 'face', 'united_state', 'several', 'hearing', 'learn', 'ongoing', 'effort', 'doe', 'office', 'science', 'support', 'research', 'find', 'solution', 'allow', 'office', 'science', 'continue', 'carry', 'nondefense', 'research', 'vast', 'array', 'critical', 'area', 'support', 'research', 'modernize', 'energy', 'infrastructure', 'allow', 'tool', 'overhaul', 'outdated', 'energy', 'grid', 'climate', 'friendly', 'solution', 'course', 'see', 'catastrophic', 'event', 'cause', 'lack', 'current', 'technology', 'recognize', 'climate', 'action', 'fund', 'continue', 'study', 'quantum_compute', 'keep', 'pace', 'competitor', 'tech', 'sector', 'ready', 'cybersecurity', 'defense', 'adversary', 'see', 'close', 'personal', 'cost', 'country', 'keep', 'abreast', 'technology', 'markup', 'able', 'offer', 'provision', 'include', 'today', 'prioritize', 'clean', 'water', 'research', 'office', 'science', 'direct', 'office', 'science', 'support', 'clean', 'water', 'watershed', 'research', 'increase', 'quality', 'quantity', 'water', 'include', 'treasure', 'great', 'lake', 'home', 'district', 'consider', 'important', 'constituent', 'imperative', 'study', 'harmful', 'effect', 'water', 'pollution', 'make', 'investment', 'technology', 'combat', 'contamination', 'waterway', 'protect', 'drinking', 'water', 'source', 'critical', 'man', 'woman', 'child', 'need', 'make_sure', 'water', 'continue', 'resource', 'commerce', 'ensure', 'relevant', 'community', 'research', 'institution', 'nonprofit', 'table', 'doe', 'carry', 'task', 'innovation', 'occur', 'vacuum', 'critical', 'research', 'effort', 'real', 'world', 'input', 'key', 'stakeholder', 'close', 'mention', 'national', 'consider', 'floor', 'today', 'chair', 'lean', 'put', 'together', 'give', 'member', 'opportunity', 'weigh', 'know', 'nsf', 'funder', 'institution', 'provide', 'tremendous', 'resource', 'fund', 'opportunity', 'stem', 'student', 'able', 'weigh', 'make_sure', 'diversity', 'opportunity', 'stem', 'urge', 'colleague', 'support', 'department', 'energy']",9,1,0.5452,"make, research, technology, national, people, world, investment, innovation, american, percent","[(0, 0.44527363184079605), (1, 0.554726368159204)]",Domestic_us_economy
