,level,speaker,gender,member_state,EP,party_group,text
0,EU,Magdalena Adamowicz,1,Poland,1.0,European People's Party,"['magdalena', 'adamowicz', ',', 'on', 'behalf', 'of', 'the', 'ppe', 'group', '.', '-', 'madam', 'president', '!', 'commissioner', '!', 'ladies', 'and', 'gentlemen', '!', 'the', 'war', 'for', 'media', 'freedom', 'has', 'been', 'going', 'on', 'in', 'poland', 'for', 'several', 'hours', '.', 'the', 'war', 'on', 'whether', 'polish', 'citizens', 'can', 'know', 'the', 'truth', 'or', 'whether', 'the', 'authorities', 'are', 'to', 'decide', 'what', 'this', 'truth', 'should', 'be', '.', 'while', 'lying', 'that', 'it', 'is', 'about', 'more', 'taxes', ',', 'the', 'authorities', 'are', 'really', 'about', 'more', 'obedience', 'to', 'their', 'citizens', '.', 'because', 'the', 'authorities', 'want', 'to', 'cultivate', 'the', 'obedience', 'of', 'citizens', 'with', 'the', 'help', 'of', 'the', 'media', 'they', 'subordinate', 'to', '.', 'like', 'in', 'hungary', '.', 'as', 'in', 'russia', '.', 'what', 'should', 'we', 'do', 'when', 'the', 'authorities', 'of', 'a', 'european', 'union', 'member', 'state', 'deprive', 'their', 'citizens', 'of', 'the', 'right', 'to', 'reliable', 'information', '?', 'again', ',', 'parliament', 'is', 'to', 'say', ':', 'we', 'do', 'not', 'have', 'our', 'brussels', 'approval', 'for', 'this', '?', 'just', 'talking', 'again', '?', 'stomp', 'your', 'foot', 'and', 'scream', '?', 'there', 'is', 'a', 'limit', 'beyond', 'which', 'helplessness', 'becomes', 'a', 'humiliation', '.', 'a', 'humiliation', 'for', 'those', 'who', 'stand', 'alone', 'for', 'freedom', 'and', 'democracy', '.', 'as', 'the', 'roman', 'maxim', ',', '``', 'vim', 'vi', 'repellere', 'licet', ""''"", 'says', ',', 'you', 'can', 'resist', 'force', 'by', 'force', '.', 'force', 'adequate', 'to', 'the', 'threat', '.', 'that', 'is', 'why', 'i', 'call', 'on', 'the', 'entire', 'european', 'union', 'to', 'act', 'accordingly', '.', 'that', 'is', 'why', 'i', 'call', 'on', 'all', 'free', 'media', 'in', 'the', 'world', 'to', 'show', 'solidarity', 'with', 'polish', 'free', 'media', '.', 'because', 'if', 'it', 'happened', 'to', 'us', ',', 'it', 'can', 'happen', 'to', 'you', '.', 'i', 'end', 'here', '.', 'what', 'is', 'left', 'of', 'my', 'time', 'i', 'spend', 'in', 'silence', '.', 'for', 'the', 'silence', 'to', 'be', 'a', 'warning', '.', 'because', 'if', 'we', 'do', 'not', 'react', 'now', 'with', 'action', ',', 'this', 'moment', 'of', 'silence', 'may', 'soon', 'become', 'a', 'minute', 'of', 'silence', ',', 'of', 'silence', 'over', 'the', 'coffin', 'of', 'polish', 'democracy', '.', 'and', 'if', 'it', 'is', 'polish', ',', 'then', 'european', 'too', '.']
"
1,EU,Marina Kaljurand,1,Estonia,1.0,Progressive Alliance of Socialists and Democrats in the European Parliament,"['marina', 'kaljurand', ',', 'on', 'behalf', 'of', 'the', 's', '&', 'd', 'group', '.', '–', 'madam', 'president', ',', 'all', 'this', 'disinformation', 'and', 'hate', 'speech', 'is', 'not', 'a', 'new', 'issue', ';', 'it', 'has', 'been', 'developing', 'for', 'years', '.', 'although', 'some', 'measures', 'have', 'been', 'introduced', ',', 'such', 'as', 'the', 'east', 'stratcom', 'task', 'force', ',', 'they', 'have', 'so', 'far', 'been', 'insufficient', 'to', 'counter', 'efficiently', 'the', 'assault', 'on', 'our', 'democracies', '.', 'after', 'the', 'riots', 'in', 'capitol', 'hill', ',', 'the', 'ultimate', 'price', 'of', 'allowing', 'disinformation', 'and', 'hatred', 'to', 'spread', 'unchecked', 'online', 'is', 'clear', 'for', 'all', 'of', 'us', '.', 'finding', 'a', 'balance', 'between', 'limiting', 'harmful', 'content', 'while', 'maintaining', 'freedom', 'of', 'speech', 'might', 'be', 'a', 'challenging', 'task', ',', 'but', 'it', 'is', 'doable', 'and', 'it', 'must', 'be', 'addressed', 'now', '.', 'i', 'look', 'forward', 'to', 'this', 'debate', ',', 'particularly', 'as', 'we', 'now', 'have', 'a', 'concrete', 'opportunity', 'to', 'address', 'these', 'issues', 'through', 'new', 'draft', 'legislation', ',', 'including', 'the', 'digital', 'services', 'act', ',', 'which', 'will', 'establish', 'new', 'rules', ',', 'including', 'on', 'advertising', ',', 'transparency', ',', 'illegal', 'content', 'removal', 'and', 'data', 'access', '.', 'continuing', 'to', 'improve', 'the', 'commission', '’', 's', 'code', 'of', 'conduct', 'on', 'disinformation', 'is', 'a', 'necessary', 'step', '.', 'but', 'we', 'also', 'need', 'to', 'extend', 'our', 'offline', 'safeguards', 'to', 'the', 'online', 'world', 'by', 'limiting', 'the', 'use', 'of', 'targeted', 'advertising', 'and', 'the', 'profiling', 'of', 'users', '.', 'i', 'welcome', 'the', 'commission', '’', 's', 'initiative', 'on', 'online', 'political', 'advertising', '.', 'we', 'also', 'need', 'to', 'explore', 'ways', 'to', 'promote', 'media', 'literacy', 'skills', 'to', 'increase', 'users', '’', 'knowledge', '.', 'with', 'the', 'gdpr', ',', 'the', 'eu', 'led', 'the', 'way', 'and', 'set', 'an', 'example', '.', 'now', 'we', 'need', 'to', 'go', 'further', '.', 'the', 'digital', 'services', 'act', 'can', 'facilitate', 'the', 'development', 'of', 'our', 'digital', 'economy', 'while', 'protecting', 'fundamental', 'rights', 'and', 'providing', 'increased', 'security', 'from', 'online', 'harms', '.', 'this', 'is', 'our', 'eu', 'opportunity', 'to', 'lead', 'the', 'way', ',', 'and', 'i', 'hope', 'that', 'we', 'can', 'do', 'it', 'together', 'with', 'our', 'allies', 'in', 'the', 'united', 'states', 'and', 'beyond', '.']
"
2,EU,Annalisa Tardino,1,Italy,1.0,Identity and Democracy Group,"['annalisa', 'tardino', ',', 'on', 'behalf', 'of', 'the', 'id', 'group', '.', '-', 'madam', 'president', ',', 'ladies', 'and', 'gentlemen', ',', 'large', 'platforms', 'and', 'social', 'media', 'undoubtedly', 'offer', 'great', 'opportunities', ',', 'which', 'are', 'useful', 'to', 'society', ',', 'especially', 'in', 'a', 'society', 'where', 'physical', 'distances', 'have', 'widened', ',', 'but', 'they', 'must', 'move', 'within', 'clear', 'rules', '.', 'the', 'giants', 'of', 'the', 'web', 'for', 'years', 'have', 'claimed', 'to', 'be', 'neutral', 'containers', '.', 'today', ',', 'however', ',', 'it', 'is', 'clear', 'that', 'their', 'policies', 'affect', 'the', 'real', 'world', ',', 'proclaiming', 'themselves', 'censors', 'of', 'which', 'messages', 'are', 'acceptable', 'and', 'which', 'are', 'not', '.', 'and', 'this', 'leads', 'us', 'to', 'a', 'big', 'question', ',', 'which', 'has', 'precise', 'political', 'and', 'legal', 'connotations', ':', 'who', 'should', 'decide', 'what', 'can', 'be', 'published', 'in', 'the', 'digital', 'space', '?', 'you', 'see', ',', 'i', 'do', 'not', 'think', 'vested', 'interests', 'are', 'at', 'stake', 'here', '.', 'it', 'is', 'not', 'a', 'question', 'of', 'deciding', 'whether', 'to', 'defend', 'the', 'ideas', 'of', 'a', 'party', 'or', 'an', 'individual', 'elected', ',', 'but', 'to', 'protect', 'the', 'values', '\u200b\u200bof', 'democracy', 'and', 'freedom', 'of', 'expression', ',', 'even', 'for', 'the', 'individual', 'citizen', '.', 'for', 'this', 'reason', ',', 'as', 'a', 'league', ',', 'we', 'have', 'asked', 'for', 'this', 'debate', '.', 'i', 'believe', 'that', 'a', 'possible', 'darkening', 'of', 'the', 'pages', 'of', 'donald', 'trump', 'or', 'ursula', 'von', 'der', 'leyen', 'or', 'a', 'newspaper', 'or', 'anyone', 'should', 'be', 'decided', 'by', 'laws', 'that', 'define', 'clear', 'parameters', 'and', 'procedures', ',', 'and', 'not', 'thanks', 'to', 'homemade', 'guidelines', 'from', 'private', 'giants', 'acting', 'almost', 'as', 'judges', 'of', 'democracy', '.', 'this', 'is', 'a', 'role', 'that', 'belongs', 'to', 'the', 'legislators', ',', 'to', 'which', 'we', 'can', 'not', 'and', 'must', 'not', 'abdicate', '.', 'the', 'european', 'union', 'must', 'act', 'without', 'delay', 'to', 'safeguard', 'the', 'democratic', 'and', 'free', 'debate', 'on', 'social', 'media', '.']
"
3,EU,Laura Ferrara,1,Italy,1.0,Non-attached Members,"['laura', 'ferrara', '(', 'ni', ')', '.', '-', 'madam', 'president', ',', 'ladies', 'and', 'gentlemen', ',', 'commissioner', ',', 'social', 'media', 'has', 'broadened', 'the', 'opportunities', 'for', 'participation', 'in', 'public', 'life', 'and', 'political', 'debate', 'by', 'facilitating', 'access', 'to', 'information', 'and', 'freedom', 'of', 'expression', '.', 'however', ',', 'we', 'are', 'not', 'yet', 'adequately', 'protected', 'from', 'the', 'proliferation', 'of', 'fake', 'news', ',', 'discriminatory', 'content', ',', 'incitement', 'to', 'hatred', 'and', 'violence', '.', 'in', 'fact', ',', 'we', 'have', 'experienced', 'how', 'disinformation', 'campaigns', 'and', 'foreign', 'interference', 'can', 'find', 'fertile', 'ground', 'to', 'influence', 'public', 'opinion', ',', 'to', 'polarize', 'societies', ',', 'to', 'undermine', 'democratic', 'processes', '.', 'with', 'the', 'action', 'plan', 'for', 'democracy', 'and', 'the', 'proposals', 'regarding', 'digital', 'services', 'and', 'markets', ',', 'we', 'therefore', 'expect', 'significant', 'interventions', 'to', 'regulate', 'opaque', 'microtargeting', 'practices', 'and', 'to', 'obtain', 'greater', 'transparency', 'on', 'the', 'functioning', 'of', 'algorithms', 'in', 'the', 'procedures', 'for', 'controlling', 'and', 'moderating', 'online', 'content.', '.', 'at', 'the', 'same', 'time', ',', 'however', ',', 'it', 'is', 'essential', 'to', 'mitigate', 'the', 'risk', 'of', 'conflict', 'with', 'the', 'freedom', 'of', 'opinion', 'deriving', 'from', 'decisions', 'adopted', 'on', 'the', 'basis', 'of', 'the', 'discretionary', 'powers', 'of', 'an', 'oligarchy', 'of', 'private', 'commercial', 'entities', ',', 'rather', 'than', 'on', 'the', 'basis', 'of', 'rules', 'that', 'give', 'greater', 'guarantees', 'of', 'freedom', 'and', 'impartiality', '.']
"
4,EU,Paulo Rangel,0,Portugal,1.0,European People's Party,"['paulo', 'rangel', '(', 'ppe', ')', '.', '–', 'madam', 'president', ',', 'madam', 'secretary', 'of', 'state', ',', 'madam', 'commissioner', ',', 'the', 'public', 'sphere', 'and', 'the', 'sphere', 'of', 'communication', 'have', 'changed', 'radically', '.', 'from', 'the', 'world', 'in', 'which', 'we', 'had', 'mediators', 'and', 'mediation', '(', 'in', 'politics', ',', 'parliaments', ',', 'parties', ',', 'institutions', ';', 'in', 'the', 'social', 'sphere', ',', 'the', 'press', ',', 'television', ',', 'radio', ')', ',', 'we', 'suddenly', 'passed', 'through', 'social', 'networks', 'to', 'the', 'illusion', 'of', 'democracy', '.', 'direct', '.', 'mediators', 'have', 'fallen', 'and', 'now', ',', 'on', 'social', 'media', ',', 'everyone', 'thinks', 'they', 'can', 'abolish', 'social', 'communication', 'and', 'traditional', 'media', '.', 'everyone', 'thinks', 'that', 'through', 'direct', 'participation', 'they', 'can', 'even', 'replace', 'parliaments', '.', 'there', 'is', 'no', 'lack', 'of', 'countries', 'in', 'which', 'the', 'abolition', 'of', 'parliaments', 'is', 'decreed', 'or', 'defended', '.', 'no', 'more', 'mediators', '.', 'only', 'direct', 'participation', ',', 'through', 'social', 'networks', ',', 'with', 'a', 'vote', 'that', 'even', 'in', 'laws', 'and', 'decisions', 'could', 'be', 'daily', 'through', 'digital', 'instruments', '.', 'the', 'problem', 'is', 'that', ',', 'suddenly', ',', 'we', 'realize', 'that', ',', 'behind', 'social', 'networks', 'and', 'the', 'companies', 'that', 'own', 'them', ',', 'there', 'is', 'a', 'mediator', ',', 'a', 'hidden', 'mediator', ',', 'a', 'secret', 'mediator', ',', 'who', 'is', 'the', 'algorithm', ',', 'who', 'is', 'the', 'controller', ',', 'who', 'is', 'the', 'owner', '.', 'of', 'social', 'networks', 'and', 'therefore', 'freedom', 'of', 'expression', 'is', 'in', 'danger', '.', 'it', 'is', 'in', 'danger', 'due', 'to', 'external', 'interference', ',', 'it', 'is', 'in', 'danger', 'due', 'to', 'hidden', 'mediation', ',', 'it', 'is', 'in', 'danger', 'due', 'to', 'lack', 'of', 'democratic', 'regulation', 'and', ',', 'therefore', ',', 'we', 'can', 'not', 'be', 'in', 'the', 'hands', 'of', 'social', 'networks', '.', 'we', 'have', 'to', 'put', 'them', 'in', 'our', 'hands', '.', 'it', 'is', 'this', 'challenge', 'that', 'is', 'being', 'debated', 'here', 'today', '.']
"
5,EU,Ismail Ertug,0,Germany,1.0,Progressive Alliance of Socialists and Democrats in the European Parliament,"['ismail', 'ertug', '(', 's', '&', 'd', ')', '.', '–', 'madam', 'president', ',', 'although', 'we', 'are', 'now', 'one', 'year', 'into', 'the', 'pandemic', ',', 'facebook', 'only', 'decided', 'this', 'week', 'to', 'take', 'down', 'posts', 'claiming', 'vaccines', 'cause', 'autism', '.', 'it', 'took', 'them', 'one', 'year', 'to', 'act', 'against', 'fake', 'news', '.', 'and', 'a', 'study', 'released', 'this', 'week', 'reveals', 'that', '83', '%', 'of', 'young', 'people', 'have', 'already', 'been', 'confronted', 'with', 'fake', 'news', 'on', 'social', 'media', 'and', '25', '%', 'of', 'them', 'can', 'not', 'distinguish', 'between', 'fake', 'news', 'and', 'real', 'news', '.', 'and', 'this', 'is', ',', 'in', 'my', 'eyes', ',', 'a', 'threat', '.', 'for', 'years', ',', 'and', 'i', 'think', 'i', 'am', 'not', 'exaggerating', 'when', 'i', 'say', 'social', 'media', 'platforms', 'and', 'trump', ',', 'for', 'example', ',', 'have', 'benefited', 'from', 'each', 'other', '.', 'only', 'after', 'trump', '’', 's', 'election', 'defeat', 'and', 'him', 'calling', 'on', 'his', 'supporters', 'to', 'storm', 'the', 'capitol', 'did', 'they', 'decide', 'to', 'ban', 'him', '.', 'that', 'means', 'that', 'facebook', ',', 'youtube', 'and', 'twitter', 'took', 'more', 'than', 'four', 'years', 'to', 'ban', 'him', '.', 'and', 'while', 'i', 'think', 'it', 'was', 'right', 'to', 'ban', 'mr', 'trump', 'from', 'social', 'media', 'platforms', ',', 'i', 'would', 'say', 'that', 'private', 'companies', 'should', 'never', 'act', 'without', 'reference', 'to', 'the', 'law', ',', 'and', 'as', 'the', 'european', 'union', 'this', 'is', 'the', 'way', 'we', 'have', 'to', 'go', '.']
"
6,EU,Michal Šimečka,0,Slovakia,1.0,Renew Europe Group,"['michal', 'šimečka', '(', 'renew', ')', '.', '–', 'madam', 'president', ',', 'i', 'think', 'it', '’', 's', 'now', 'clear', 'that', 'most', 'social', 'media', 'have', 'wildly', 'outgrown', 'their', 'founders', '’', 'expectations', 'and', 'their', 'impact', 'on', 'society', 'is', 'felt', 'globally', 'and', ',', 'of', 'course', ',', 'in', 'each', 'individual', 'country', '.', 'with', 'such', 'great', 'power', 'must', 'come', 'greater', 'responsibility', ',', 'because', 'today', 'there', 'is', 'very', 'little', 'incentive', 'for', 'social', 'media', 'corporations', 'to', 'ensure', 'that', 'their', 'products', 'are', 'not', 'used', 'as', 'vehicles', 'for', 'the', 'mass', 'spread', 'of', 'hate', 'or', 'lies', 'or', 'disinformation', '.', 'in', 'slovakia', ',', 'last', 'year', ',', 'journalists', 'tracked', '56', 'death', 'threats', 'posted', 'publicly', 'on', 'facebook', ',', 'and', 'actually', 'had', 'to', 'call', 'facebook', '’', 's', 'pr', 'department', 'before', 'the', 'death', 'threats', 'were', 'taken', 'down', '.', 'so', 'it', 'was', 'because', 'of', 'the', 'action', 'of', 'journalists', 'that', 'the', 'threats', 'actually', 'disappeared', '.', 'this', 'is', 'illustrative', 'of', 'a', 'much', 'bigger', 'problem', ',', 'which', 'is', 'that', 'the', 'social', 'media', 'corporations', 'are', 'unable', 'or', 'unwilling', 'to', 'ensure', 'that', 'their', 'content', 'not', 'only', 'meets', 'ethical', 'standards', ',', 'but', 'actually', 'complies', 'with', 'the', 'legislation', 'and', 'the', 'laws', 'of', 'the', 'country', 'in', 'which', 'they', 'operate', '.', 'so', ',', 'when', 'we', 'think', 'about', 'the', 'future', ',', 'the', 'regulation', 'must', 'not', 'be', 'virtual', ',', 'but', 'real', '.']
"
7,EU,Elżbieta Kruk,1,Poland,1.0,European Conservatives and Reformists Group,"['elżbieta', 'kruk', '(', 'ecr', ')', '.', '-', 'madam', 'president', '!', 'are', 'the', 'power', 'over', 'the', 'world', 'being', 'taken', 'over', 'by', 'large', 'technology', 'corporations', 'that', 'already', 'control', 'the', 'public', 'debate', ',', 'influence', 'the', 'election', 'results', ',', 'do', 'not', 'reckon', 'with', 'anyone', ',', 'are', 'unpunished', '?', 'the', 'early', 'internet', 'was', 'free', ',', 'it', 'acted', 'like', 'hyde', 'park', 'online', '.', 'the', 'goal', 'of', 'the', 'giants', 'of', 'the', 'silicon', 'valley', 'in', 'the', 'beginning', 'of', 'their', 'activity', 'was', 'to', 'give', 'people', 'access', 'to', 'information', 'for', 'free', ',', 'and', 'their', 'principle', 'of', '``', 'do', 'not', 'do', 'evil', ""''"", '.', 'but', 'that', 'is', 'how', 'it', 'was', 'yesterday', ',', 'and', 'today', 'is', '``', '1984', ""''"", 'again', ',', 'orwell', 'and', 'other', 'science', 'fiction', 'writers', 'predicted', 'the', 'future', '.', 'this', 'time', ',', 'however', ',', 'it', 'is', 'for', 'real', '.', 'you', 'do', 'not', 'agree', 'with', 'big', 'brother', ',', 'it', 'will', 'silence', 'you', ',', 'even', 'if', 'you', 'were', 'the', 'president', 'of', 'the', 'united', 'states', '.', 'conservative', 'views', 'on', 'the', 'web', 'are', 'always', 'the', 'victim', '.', 'several', 'big', 'tech', 'billionaires', ',', 'in', 'the', 'name', 'of', 'leftist', 'ideology', ',', 'declared', 'a', 'war', 'on', 'freedom', 'of', 'speech', ',', 'and', 'their', 'actions', 'can', 'be', 'compared', 'to', 'the', 'actions', 'of', 'totalitarian', 'states', '.', 'we', 'are', 'witnessing', 'an', 'unprecedented', 'threat', 'to', 'freedom', '.', 'censorship', 'and', 'account', 'blocking', 'on', 'the', 'one', 'hand', ',', 'and', 'digital', 'surveillance', 'and', 'manipulation', 'on', 'the', 'other', '.', 'the', 'passivity', 'of', 'the', 'european', 'commission', 'in', 'the', 'face', 'of', 'these', 'monopolistic', 'practices', 'is', 'astonishing', '.', 'it', 'is', 'high', 'time', 'to', 'take', 'action', 'and', 'introduce', 'regulations', 'to', 'protect', 'freedom', 'of', 'speech', 'online', '.']
"
8,EU,Sira Rego,1,Spain,1.0,Left group in the European Parliament,"['sira', 'rego', '(', 'the', 'left', ')', '.', '–', 'madam', 'president', ',', 'abascal', 'in', 'spain', ',', 'salvini', 'in', 'italy', ',', 'le', 'pen', 'in', 'france', ',', 'orbán', 'in', 'hungary', ',', 'etcetera', ',', 'etcetera', '.', 'all', 'of', 'them', 'with', 'a', 'common', 'denominator', ':', 'hate', 'speech', ',', 'racist', 'hoaxes', ',', 'lgtbiphobia', ',', 'machismo', ',', 'the', 'exaltation', 'of', 'fascism', '.', 'that', 'is', 'why', ',', 'for', 'me', ',', 'the', 'fundamental', 'debate', 'is', 'that', 'of', 'impunity', ',', 'that', 'of', 'the', 'tolerance', 'with', 'which', 'the', 'narrative', 'of', 'the', 'violation', 'of', 'human', 'rights', 'by', 'the', 'extreme', 'right', 'has', 'been', 'accepted', 'and', ',', 'from', 'there', ',', 'the', 'use', 'of', 'social', 'networks', 'as', 'a', 'disseminator', 'of', 'hate', 'speech', '.', 'a', 'danger', '.', 'and', ',', 'of', 'course', ',', 'it', 'is', 'normal', 'for', 'the', 'question', 'to', 'arise', ':', 'should', 'it', 'be', 'a', 'multinational', 'that', 'determines', 'when', 'and', 'why', 'the', 'use', 'of', 'an', 'account', 'is', 'limited', 'or', 'should', 'it', 'rather', 'be', 'a', 'great', 'anti-fascist', 'consensus', 'that', 'gives', 'rise', 'to', 'public', 'regulation', 'to', 'do', 'so', '?', 'of', 'course', ',', 'we', 'believe', 'that', 'you', 'should', 'bet', 'on', 'the', 'latter', '.', 'the', 'only', 'way', 'to', 'guarantee', 'the', 'fundamental', 'right', 'of', 'access', 'to', 'truthful', 'information', ',', 'the', 'only', 'way', 'to', 'eradicate', 'hate', 'speech', ',', 'is', 'the', 'intervention', 'of', 'public', 'powers', ',', 'the', 'firm', 'alliance', 'to', 'expel', 'hate', 'from', 'any', 'public', 'space', '.']
"
9,EU,Tanja Fajon,1,Slovenia,1.0,Progressive Alliance of Socialists and Democrats in the European Parliament,"['tanja', 'fajon', '(', 's', '&', 'd', ')', '.', '-', 'madam', 'president', ',', 'media', 'freedom', 'has', 'been', 'in', 'the', 'spotlight', 'in', 'recent', 'years', 'for', 'a', 'reason', '.', 'imagine', 'that', 'years', 'ago', ',', 'when', 'there', 'was', 'no', 'social', 'media', ',', 'newspapers', 'and', 'newscasts', 'would', 'be', 'wasting', 'false', 'information', 'on', 'average', '.', 'it', 'may', 'have', 'been', 'misleading', 'advertisers', ',', 'but', 'not', 'journalists', ',', 'reporters', ',', 'presenters', '.', 'today', ',', 'however', ',', 'there', 'are', 'a', 'number', 'of', 'verified', 'and', 'unverified', 'information', 'channels', 'available', 'to', 'the', 'individual', 'that', 'serve', 'him', 'in', 'creating', 'the', 'truth', '.', 'i', 'am', 'very', 'worried', 'about', 'how', 'easy', 'it', 'is', 'to', 'publish', 'complete', 'lies', 'and', 'misinformation', 'and', 'not', 'take', 'any', 'responsibility', 'for', 'it', ',', 'saying', 'that', 'it', 'is', 'about', 'freedom', 'of', 'speech', 'and', 'thus', 'discredit', 'the', 'target', 'of', 'the', 'attack', '.', 'such', 'and', 'similar', 'announcements', ',', 'attacks', ',', 'insults', 'are', 'mostly', 'used', 'today', 'by', 'the', 'populist', 'right', ',', 'which', 'undermines', 'democracy', 'with', 'its', 'autocratic', 'tendencies', 'and', 'strives', 'for', 'fundamental', 'human', 'rights', '.', 'they', 'even', 'see', 'the', 'free', 'media', 'as', 'their', 'enemies', 'and', 'not', 'as', 'a', 'fundamental', 'aspect', 'of', 'a', 'free', 'society', '.', 'one', 'of', 'the', 'more', 'effective', 'tactics', 'for', 'spreading', 'disinformation', 'proved', 'to', 'be', 'the', 'party', 'appropriation', 'of', 'the', 'newly', 'created', 'media', ',', 'which', 'serve', 'exclusively', 'to', 'promote', 'party', 'ideology', '.', 'unfortunately', ',', 'such', 'practices', 'are', 'used', 'by', 'more', 'and', 'more', 'politicians', 'who', 'slander', 'and', 'spread', 'untruths', 'about', 'their', 'political', 'opponents', 'in', 'slovenia', 'as', 'well', ',', 'the', 'slovenian', 'prime', 'minister', '.', 'different', 'views', 'and', 'beliefs', 'are', ',', 'of', 'course', ',', 'something', 'completely', 'normal', '.', 'when', 'constructive', 'dialogue', 'is', 'replaced', 'by', 'lies', 'and', 'offensive', 'or', 'even', 'hostile', 'rhetoric', ',', 'our', 'democracy', 'is', 'really', 'in', 'danger', '.', 'that', '’', 's', 'when', 'things', 'go', 'so', 'far', 'that', 'a', 'coup', 'happens', ',', 'like', 'it', 'happened', 'on', 'the', 'capitol', '.', 'we', 'are', 'at', 'a', 'crossroads', 'between', 'freedom', 'and', 'the', 'rights', 'of', 'the', 'individual', 'to', 'express', 'themselves', ',', 'and', 'i', 'very', 'much', 'welcome', 'the', 'action', 'plan', 'presented', 'by', 'the', 'european', 'commission', '.']
"
